Dipodomys merriami,no,Dipodomys merriami
Dipodomys microps,no,Dipodomys microps
Dipodomys nelsoni,no,Dipodomys nelsoni
Dipodomys nitratoides,no,Dipodomys nitratoides
Dipodomys ordii,no,Dipodomys ordii
Dipodomys panamintinus,no,Dipodomys panamintinus
Dipodomys phillipsii,no,Dipodomys phillipsii
Dipodomys simulans,no,Dipodomys simulans
Dipodomys spectabilis,no,Dipodomys spectabilis
Dipodomys stephensi,no,Dipodomys stephensi
Dipodomys venustus,no,Dipodomys venustus
Dipus sagitta,no,Dipus sagitta
Dolichotis patagonum,no,Dolichotis patagonum
Dolichotis salinicola,no,Dolichotis salinicola
Dremomys everetti,no,Dremomys everetti
Dremomys gularis,no,Dremomys gularis
Dremomys lokriah,no,Dremomys lokriah
Dremomys pernyi,no,Dremomys pernyi
Dremomys pyrrhomerus,no,Dremomys pyrrhomerus
Dremomys rufigenis,no,Dremomys rufigenis
Dryomys laniger,no,Dryomys laniger
Dryomys niethammeri,no,Dryomys niethammeri
Dryomys nitedula,no,Dryomys nitedula
Echimys chrysurus,no,Echimys chrysurus
Echimys saturnus,no,Echimys saturnus
Echiothrix centrosa,no,Echiothrix centrosa
Echiothrix leucura,no,Echiothrix leucura
Eoglaucomys fimbriatus,no,Eoglaucomys fimbriatus
Eolagurus luteus,no,Eolagurus luteus
Eolagurus przewalskii,no,Eolagurus przewalskii
Eospalax fontanierii,no,Eospalax fontanierii
Eospalax rothschildi,no,Eospalax rothschildi
Eospalax smithii,no,Eospalax smithii
Eothenomys cachinus,no,Eothenomys cachinus
Eothenomys chinensis,no,Eothenomys chinensis
Eothenomys custos,no,Eothenomys custos
Eothenomys melanogaster,no,Eothenomys melanogaster
Eothenomys miletus,no,Eothenomys miletus
Eothenomys olitor,no,Eothenomys olitor
Eothenomys proditor,no,Eothenomys proditor
Eothenomys wardi,no,Eothenomys wardi
Eozapus setchuanus,no,Eozapus setchuanus
Epixerus ebii,no,Epixerus ebii
Geocapromys brownii,no,Geocapromys brownii
Geocapromys ingrahami,no,Geocapromys ingrahami
Geomys arenarius,no,Geomys arenarius
Geomys attwateri,no,Geomys attwateri
Geomys breviceps,no,Geomys breviceps
Geomys bursarius,no,Geomys bursarius
Geomys knoxjonesi,no,Geomys knoxjonesi
Geomys personatus,no,Geomys personatus
Geomys pinetis,no,Geomys pinetis
Geomys texensis,no,Geomys texensis
Geomys tropicalis,no,Geomys tropicalis
Georychus capensis,no,Georychus capensis
Geoxus valdivianus,no,Geoxus valdivianus
Gerbilliscus afra,no,Gerbilliscus afra
Gerbilliscus boehmi,no,Gerbilliscus boehmi
Gerbilliscus brantsii,no,Gerbilliscus brantsii
Gerbilliscus guineae,no,Gerbilliscus guineae
Gerbilliscus inclusus,no,Gerbilliscus inclusus
Gerbilliscus kempi,no,Gerbilliscus kempi
Gerbilliscus leucogaster,no,Gerbilliscus leucogaster
Gerbilliscus nigricaudus,no,Gerbilliscus nigricaudus
Gerbilliscus phillipsi,no,Gerbilliscus phillipsi
Gerbilliscus robustus,no,Gerbilliscus robustus
Gerbilliscus validus,no,Gerbilliscus validus
Gerbillurus paeba,no,Gerbillurus paeba
Gerbillurus setzeri,no,Gerbillurus setzeri
Gerbillurus tytonis,no,Gerbillurus tytonis
Gerbillurus vallinus,no,Gerbillurus vallinus
Gerbillus acticola,no,Gerbillus acticola
Gerbillus amoenus,no,Gerbillus amoenus
Gerbillus andersoni,no,Gerbillus andersoni
Gerbillus aquilus,no,Gerbillus aquilus
Gerbillus brockmani,no,Gerbillus brockmani
Gerbillus cheesmani,no,Gerbillus cheesmani
Gerbillus dunni,no,Gerbillus dunni
Gerbillus famulus,no,Gerbillus famulus
Gerbillus floweri,no,Gerbillus floweri
Euchoreutes naso,no,Euchoreutes naso
Exilisciurus exilis,no,Exilisciurus exilis
Exilisciurus whiteheadi,no,Exilisciurus whiteheadi
Graphiurus ocularis,no,Graphiurus ocularis
Graphiurus platyops,no,Graphiurus platyops
Graphiurus rupicola,no,Graphiurus rupicola
Graphiurus surdus,no,Graphiurus surdus
Gymnuromys roberti,no,Gymnuromys roberti
Habromys chinanteco,no,Habromys chinanteco
Habromys delicatulus,no,Habromys delicatulus
Habromys ixtlani,no,Habromys ixtlani
Habromys lepturus,no,Habromys lepturus
Habromys lophurus,no,Habromys lophurus
Habromys simulatus,no,Habromys simulatus
Hadromys humei,no,Hadromys humei
Hadromys yunnanensis,no,Hadromys yunnanensis
Haeromys margarettae,no,Haeromys margarettae
Haeromys minahassae,no,Haeromys minahassae
Haeromys pusillus,no,Haeromys pusillus
Handleyomys fuscatus,no,Handleyomys fuscatus
Handleyomys intectus,no,Handleyomys intectus
Hapalomys delacouri,no,Hapalomys delacouri
Hapalomys longicaudatus,no,Hapalomys longicaudatus
Heimyscus fumosus,no,Heimyscus fumosus
Heliophobius argenteocinereus,no,Heliophobius argenteocinereus
Felovia vae,no,Felovia vae
Funambulus layardi,no,Funambulus layardi
Funambulus palmarum,no,Funambulus palmarum
Funambulus pennantii,no,Funambulus pennantii
Funambulus sublineatus,no,Funambulus sublineatus
Funambulus tristriatus,no,Funambulus tristriatus
Funisciurus anerythrus,no,Funisciurus anerythrus
Funisciurus bayonii,no,Funisciurus bayonii
Funisciurus carruthersi,no,Funisciurus carruthersi
